parameter,base_value,scale,test_value,mae
porosity,0.42,0.5,0.21,5.532994381440093
porosity,0.42,0.6,0.252,4.015902554825724
porosity,0.42,0.7,0.294,2.752845638415133
porosity,0.42,0.8,0.336,1.7072084239137637
porosity,0.42,0.9,0.378,0.7883946332231879
porosity,0.42,1.0,0.42,0.0
porosity,0.42,1.1,0.462,0.6961524356992606
porosity,0.42,1.2,0.504,1.285463708972438
porosity,0.42,1.3,0.546,1.8038423401266241
porosity,0.42,1.4,0.588,2.2690423375720274
porosity,0.42,1.5,0.63,2.645420298514459
latent_heat,334000.0,0.5,167000.0,4.655793077116354
latent_heat,334000.0,0.6,200400.0,3.431931123025172
latent_heat,334000.0,0.7,233799.99999999997,2.393434084471041
latent_heat,334000.0,0.8,267200.0,1.5067099894356255
latent_heat,334000.0,0.9,300600.0,0.7029441588965848
latent_heat,334000.0,1.0,334000.0,0.0
latent_heat,334000.0,1.1,367400.00000000006,0.6342212977637478
latent_heat,334000.0,1.2,400800.0,1.1795109815086307
latent_heat,334000.0,1.3,434200.0,1.6649497787250902
latent_heat,334000.0,1.4,467599.99999999994,2.113803752477019
latent_heat,334000.0,1.5,501000.0,2.479714040834772
k_parameter,5.0,0.5,2.5,0.39540865290737176
k_parameter,5.0,0.6,3.0,0.2077139426840956
k_parameter,5.0,0.7,3.5,0.10569069424550137
k_parameter,5.0,0.8,4.0,0.05377773938452795
k_parameter,5.0,0.9,4.5,0.034520896170984576
k_parameter,5.0,1.0,5.0,0.0
k_parameter,5.0,1.1,5.5,0.07056022266018544
k_parameter,5.0,1.2,6.0,0.18242760265093266
k_parameter,5.0,1.3,6.5,0.32486187096935765
k_parameter,5.0,1.4,7.0,0.4604014716317251
k_parameter,5.0,1.5,7.5,0.5632023124619168
lambda_thawed,1.64,0.5,0.82,1.7680962399491287
lambda_thawed,1.64,0.6,0.9839999999999999,1.3287211713417884
lambda_thawed,1.64,0.7,1.148,0.9272811737385498
lambda_thawed,1.64,0.8,1.312,0.5736904042352353
